year;wikipediapage;host;beginning;ending;teamcount;venues;champions;secondplace;thirdplace;fourthplace;matchcount;goalcount;attendance;topscorer
1930;1930 FIFA World Cup;["Uruguay"];1930-07-13;1930-07-30;13;["Estadio Centenario","Estadio Gran Parque Central","Estadio Pocitos"];Uruguay;Argentina;United States;Yugoslavia;18;70;590549;["Guillermo Stábile"]
1934;1934 FIFA World Cup;["Italy"];1934-05-27;1934-06-10;16;["Stadio San Siro","Stadio Littoriale","Stadio Nazionale PNF","Stadio Giovanni Berta","Stadio Giorgio Ascarelli","Stadio Luigi Ferraris","Stadio Benito Mussolini","Stadio Littorio"];Italy;Czechoslovakia;Germany;Austria;17;70;363000;["Oldřich Nejedlý"]
1938;1938 FIFA World Cup;["France"];1938-06-04;1938-06-19;15;["Stade Olympique de Colombes","Stade Vélodrome","Parc des Princes","Parc Lescure","Stade de la Meinau","Stade Municipal","Vélodrome Municipal","Stade du T.O.E.C.","Stade Victor Boucquey","Stade du Fort Carré"];Italy;Hungary;Brazil;Sweden;18;84;374835;["Leônidas da Silva"]
1950;1950 FIFA World Cup;["Brazil"];1950-06-24;1950-07-16;13;["Estádio do Maracanã","Estádio do Pacaembu","Estádio Sete de Setembro","Estádio dos Eucaliptos","Estádio Ilha do Retiro","Estádio Vila Capanema"];Uruguay;Brazil;Sweden;Spain;22;88;1045246;["Ademir de Menezes"]
1954;1954 FIFA World Cup;["Switzerland"];1954-06-16;1954-07-04;16;["Wankdorf Stadium","St. Jakob Stadium","Stade olympique de la Pontaise","Charmilles Stadium","Cornaredo Stadium","Hardturm Stadium"];West Germany;Hungary;Austria;Uruguay;26;140;768607;["Sándor Kocsis"]
1958;1958 FIFA World Cup;["Sweden"];1958-06-08;1958-06-29;16;["Ullevi Stadium","Råsunda Stadium","Malmö Stadion","Olympia","Tunavallen","Idrottsparken","Jernvallen","Rimnersvallen","Ryavallen","Örjans Vall","Eyravallen","Arosvallen"];Brazil;Sweden;France;West Germany;35;126;819810;["Just Fontaine"]
1962;1962 FIFA World Cup;["Chile"];1962-05-30;1962-06-17;16;["Estadio Nacional","Estadio Sausalito","Estadio Braden Copper Co.","Estadio Carlos Dittborn"];Brazil;Czechoslovakia;Chile;Yugoslavia;32;89;893172;["Garrincha","Vavá","Leonel Sánchez","Flórián Albert","Valentin Ivanov","Dražan Jerković"]
1966;1966 FIFA World Cup;["England"];1966-07-11;1966-07-30;16;["Wembley Stadium","Old Trafford","Goodison Park","Roker Park","White City Stadium","Villa Park","Hillsborough Stadium","Ayresome Park"];England;West Germany;Portugal;Soviet Union;32;89;1563135;["Eusébio"]
1970;1970 FIFA World Cup;["Mexico"];1970-05-31;1970-06-21;16;["Estadio Azteca","Estadio Jalisco","Estadio Cuauhtémoc","Estadio Luis Dosal","Estadio Nou Camp"];Brazil;Italy;West Germany;Uruguay;32;95;1604065;["Gerd Müller"]
1974;1974 FIFA World Cup;["West Germany"];1974-06-13;1974-07-07;16;["Olympiastadion Berlin","Olympiastadion Munich","Neckarstadion","Parkstadion","Rheinstadion","Waldstadion","Volksparkstadion","Niedersachsenstadion","Westfalenstadion"];West Germany;Netherlands;Poland;Brazil;38;97;1865762;["Grzegorz Lato"]
